INFO:root: Face not recognised for too long --> pc locked at 08:30:46, last user:
INFO:root: Face not recognised for too long --> pc locked at 08:30:57, last user:
INFO:root: Face not recognised for too long --> pc locked at 10:20:24, last user:Luca
INFO:root: Face not recognised for too long --> pc locked at 10:32:30, last user:Luca
INFO:root: Face not recognised for too long --> pc locked at 10:32:33, last user:Luca
INFO:root: Face not recognised for too long --> pc locked at 10:32:42, last user:Luca
INFO:root: Face not recognised for too long --> pc locked at 10:32:45, last user:Luca
INFO:root: Face not recognised for too long --> pc locked at 10:32:56, last user:Luca
INFO:root: Face not recognised for too long --> pc locked at 10:32:58, last user:Luca
INFO:root: Face not recognised for too long --> pc locked at 10:33:09, last user:Luca
INFO:root: Face not recognised for too long --> pc locked at 10:33:10, last user:Luca
INFO:root: Face not recognised for too long --> pc locked at 10:33:21, last user:Luca
INFO:root: Face not recognised for too long --> pc locked at 10:33:23, last user:Luca
INFO:root: Face not recognised for too long --> pc locked at 10:33:33, last user:Luca
INFO:root: Face not recognised for too long --> pc locked at 10:33:36, last user:Luca
INFO:root: Face not recognised for too long --> pc locked at 10:33:46, last user:Luca
INFO:root: Face not recognised for too long --> pc locked at 10:33:50, last user:Luca
INFO:root: Face not recognised for too long --> pc locked at 10:34:00, last user:Luca
